id,summary,precondition,stepnumber,stepaction,expectedresult,testsuite,priority,status,requirementid,assignedto
TC-001,Password reset via email,User is on login page,1,"Click ""Forgot password""",Reset password form opens,Authentication,High,Active,REQ-1,Emily
TC-001,Password reset via email,User is on login page,2,Enter registered email,Confirmation email sent,Authentication,High,Active,REQ-1,Emily
TC-001,Password reset via email,User is on login page,3,Click link in email,Password reset page opens,Authentication,High,Active,REQ-1,Emily
TC-002,Export report as PDF,User has report ready,1,Open report menu,Report menu opens,Reporting,Medium,Active,REQ-2,Emily
TC-002,Export report as PDF,User has report ready,2,"Click ""Export to PDF""",PDF is generated,Reporting,Medium,Active,REQ-2,Emily
TC-003,Biometric login with fingerprint,User is on login page,1,Place finger on scanner,Device authenticates,Authentication,High,Active,REQ-3,Emily
TC-003,Biometric login with fingerprint,User is on login page,2,Use face scanner,Device authenticates,Authentication,High,Active,REQ-3,Emily
TC-004,View weather for office locations,User is logged in,1,Open weather app,Weather page opens,Weather,Medium,Active,REQ-4,Emily
TC-004,View weather for office locations,User is logged in,2,Select office location,Weather info displayed,Weather,Medium,Active,REQ-4,Emily
TC-005,Track golf training progress,User has account,1,Open golf training app,Training page opens,Golf,Low,Active,REQ-5,Emily
TC-005,Track golf training progress,User has account,2,Complete daily exercise,Progress tracked,Golf,Low,Active,REQ-5,Emily
